ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
DDB_G0267178	0	0	0	0	0	0	0	41.3383717093812	14.9878898752239	15.6895683203059	0	0	9.34794567080715	0	0	0	0	0
DDB_G0267184	0	0	0	0	0	0	0	0	6.23180749318945	0	6.99542449657672	0	0	0	0	0	0	0
DDB_G0267188	10.5675957813643	11.6175231029026	11.7016962647341	0	0	21.2755396027517	19.1908253818441	0	0	0	0	7.02268167825642	6.65304360278631	11.8582008381165	0	0	0	0
DDB_G0267192	0	0	0	0	15.8760110597391	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267194	38.4591051714249	0	0	0	0	9.67862312405041	8.73024937455917	13.3841424915535	0	0	0	0	0	5.39450744772578	0	0	0	0
DDB_G0267196	0	0	0	0	0	6.41734626171096	0	0	3.21750753756441	0	0	0	0	0	0	0	0	0
DDB_G0267198	0	0	0	0	0	0	0	28.6467595090904	0	0	0	0	12.9559216032152	0	0	0	0	0
DDB_G0267200	0	0	0	0	0	8.2573132730171	14.8964172100397	0	4.14002402433554	0	0	0	0	0	0	0	0	0
DDB_G0267202	0	0	0	0	0	9.37135092305378	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267206	0	9.39559743591168	0	1.51864154535523	1.85075555267363	6.45242116914665	5.82017143909208	2.97425653892092	4.31345770263076	2.25769904521549	2.42100447670339	1.41988721229580	1.34515160550294	11.987805016856	0	0	0	0
DDB_G0267212	0	0	5.19554525985292	10.0047900193622	0	14.1694878801916	12.7810703153092	0	2.368083430891	4.95789695366893	0	3.11806593501169	5.90789375694611	2.63251659251044	0	0	0	0
DDB_G0267214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267216	3.84591668952135	0	4.25865541144314	0	0	0	0	0	1.94105735073479	0	0	0	0	0	0	0	0	0
DDB_G0267218	0	0	6.56004798188265	4.21078053685901	0	5.96360380054977	5.3792515404898	0	0	0	0	7.8739231866222	0	0	0	0	0	0
DDB_G0267220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267222	0	0	0	0	5.11870947536526	2.97428702652865	0	0	0	3.12210477460756	0	0	0	0	0	0	0	0
DDB_G0267224	0	0	0	0	0	0	0	0	1.98665171608524	0	0	0	0	0	0	0	0	0
DDB_G0267226	0	0	4.95758920929609	0	3.87810812273414	0	4.065232367945	0	0	0	2.53650924151376	0	0	0	0	0	0	0
DDB_G0267232	16.8776968529372	9.27727730930822	0	0	21.9293846221234	8.49488651976863	7.66250289691257	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267234	0	0	0	0	4.39854758664199	0	0	0	0	0	0	0	3.19691778825418	0	0	0	0	0
DDB_G0267252	0	0	0	0	0	0	0	0	15.1800326624918	0	0	19.9876161962213	0	0	0	0	0	0
DDB_G0267262	0	0	0	0	0	0	0	0	28.8790882967858	0	0	0	0	0	0	0	0	0
DDB_G0267272	0	0	16.2361107272972	0	0	29.5198242167946	13.3136409798502	0	0	0	0	0	9.2311020696989	8.22663045931328	0	0	0	0
DDB_G0267274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267278	0	0	0	0	0	0	8.58943223045508	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267282	14.6625456126935	16.1193204137525	0	0	0	0	13.3136409798502	20.4108336784708	0	0	8.30707087001214	0	0	16.4532609186266	0	0	0	0
DDB_G0267284	0	0	0	8.59519292090311	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
