ddb_g	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio2.prespore	bio2.prestalk	bio4.prespore	bio4.prestalk
cox1%2F2	22407	64846	86888	22692	51272	24804	14778	25787	122972	47162	76046	52699	37913	15926	6880	10206	20207	410
DDB_G0267178	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0
DDB_G0267180	1	0	0	1	1	0	2	3	2	0	1	0	0	1	0	0	0	0
DDB_G0267182	4	5	1	2	1	2	5	3	9	0	2	1	4	2	0	0	0	0
DDB_G0267184	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
DDB_G0267186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267188	1	1	1	0	0	2	2	0	0	0	0	1	1	2	0	0	0	0
DDB_G0267190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267192	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267194	4	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0
DDB_G0267196	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
DDB_G0267198	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
DDB_G0267200	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0
DDB_G0267202	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267206	0	4	0	1	1	3	3	1	4	1	2	1	1	10	0	0	0	0
DDB_G0267208	0	5	0	0	0	0	0	4	2	0	1	0	1	4	0	0	0	0
DDB_G0267210	1	7	2	1	1	1	1	4	6	0	1	1	0	5	0	0	0	0
DDB_G0267212	0	0	1	3	0	3	3	0	1	1	0	1	2	1	0	0	0	0
DDB_G0267214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267216	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDB_G0267218	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0
DDB_G0267220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267222	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
DDB_G0267224	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DDB_G0267226	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
DDB_G0267228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267232	2	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267234	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
DDB_G0267236	0	3	0	0	1	0	0	4	3	0	0	0	0	4	0	0	0	0
DDB_G0267238	1	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
DDB_G0267240	0	2	3	0	1	0	3	1	1	1	1	1	2	0	0	0	0	0
DDB_G0267242	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267244	0	3	0	1	1	1	3	0	2	0	0	1	2	2	0	0	0	0
DDB_G0267246	0	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0
DDB_G0267248	0	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
DDB_G0267250	0	0	2	1	0	1	1	0	0	0	0	2	1	0	0	0	14	0
DDB_G0267252	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
DDB_G0267254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0267258	2	5	1	2	1	4	5	2	8	0	1	0	5	6	0	0	0	0
DDB_G0267260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
