jgi_id	bio1.hr00	bio1.hr04	bio1.hr08	bio1.hr12	bio1.hr16	bio1.hr20	bio1.hr24	bio2.hr00	bio2.hr04	bio2.hr08	bio2.hr12	bio2.hr16	bio2.hr20	bio2.hr24	bio1.prespore	bio1.prestalk	bio2.prespore	bio2.prestalk
100002	20	60	99	120	202	94	103	35	78	133	151	153	137	97	238	49	330	122
100004	32	87	132	103	51	35	35	41	132	138	123	58	60	42	42	34	66	55
100012	0	1	11	423	104	16	9	0	0	17	420	113	18	4	4	11	5	50
100013	208	1634	2745	751	1235	3112	2848	321	2085	4535	984	1648	2709	4593	746	346	1022	1121
100030	114	496	592	622	941	796	688	173	712	856	713	1154	875	480	683	166	852	518
100035	27	22	26	40	31	10	10	43	32	45	62	22	15	13	12	3	20	8
100046	188	619	573	454	393	511	488	225	885	775	720	461	655	405	221	104	371	336
100047	75	110	194	243	195	133	112	143	203	345	316	223	153	107	122	16	161	72
100057	109	602	682	1016	1256	720	945	188	981	1176	1722	1536	1090	1108	1008	300	1415	1675
100058	90	276	397	416	311	204	242	189	413	725	647	271	332	272	161	150	283	565
100061	322	774	355	751	636	397	752	355	1058	656	1133	868	539	670	661	230	971	707
100067	1844	2672	1478	1044	843	295	1709	3899	3343	2699	1327	614	547	2706	1207	5029	1948	3834
100068	19	577	1275	780	1113	481	857	68	968	3093	1724	929	600	858	411	272	548	880
100069	777	318	66	176	275	334	373	981	423	160	152	586	547	796	139	471	359	1602
100074	1	25	2027	3267	2079	1243	1114	6	26	3274	4102	1978	1502	1050	1876	768	2209	2435
100077	66	143	498	1090	430	125	227	100	229	955	1748	323	150	183	206	249	335	627
100079	203	1412	4538	8443	4532	2922	3540	464	2150	12281	19176	5444	4213	4055	2760	1708	4125	6634
100080	2	4	0	8	17	9	9	1	6	1	3	21	19	11	12	0	17	0
100082	2	11	2	1151	20225	20376	12880	8	9	4	182	54640	28253	16102	13382	2814	25281	3339
100084	4	3	3	2	2	1	1	4	8	5	3	1	1	2	7	0	4	1
100086	73	102	124	235	226	162	498	76	131	259	301	317	256	493	178	18	276	78
