#gene ID	dictybase ID										
#genename	gene name										
#synonyms	dictybase synonyms										
#annotation	gene annotation										
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and #Cellular Component ontologies are separated by || and each term within the ontology is #separated by comma."										
#domains	Protein domain identified in gene. Separated by comma.										
#polyA	Indicate if gene has polyA tail										
#est_count	Number of ESTs mapping to gene										
#published_mutants	Published mutants of gene. Each strain is separated by ||. The phenotype #for each strain is separated by comma.										
#cell_type	gene enrichment in cell type. Defined using Maeda et al.										
#enrichment_pattern	The clone ID and cell type enrichment pattern reported by Maeda et al.										
#percent_mapability	The percent of mapable transcript nucleotides 										
#											
gene ID	genename	synonyms	annotation	go_terms	domains	polyA	est_count	published_mutants	cell_type	enrichment_pattern	percent_mapability
cox1%2F2	cox1%2F2					N	75				1
DDB_G0267178	DDB_G0267178		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	P:  || F: DNA binding || C: 		Y					0.0564689
DDB_G0267180	DDB_G0267180		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.012884
DDB_G0267182	DDB_G0267182		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.0136805
DDB_G0267184	DDB_G0267184		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.078125
DDB_G0267186	DDB_G0267186		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.00390625
DDB_G0267188	DDB_G0267188		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: DNA recombination, DNA integration || F: DNA binding || C: "		Y					0.056288
DDB_G0267190	DDB_G0267190					Y					0.0213115
DDB_G0267192	DDB_G0267192					Y	1				0.423841
DDB_G0267194	DDB_G0267194					Y					0.450184
DDB_G0267196	DDB_G0267196					Y					0.493298
DDB_G0267198	DDB_G0267198					Y					0.286432
DDB_G0267200	DDB_G0267200					Y					0.861446
DDB_G0267202	DDB_G0267202					Y					0.329843
DDB_G0267204	DDB_G0267204					Y					0.388753
DDB_G0267206	DDB_G0267206		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."	"P: RNA-dependent DNA replication || F: DNA binding, RNA binding, RNA-directed DNA polymerase activity || C: "		Y					0.270977
DDB_G0267208	DDB_G0267208		"Slime mold (D.discoideum) transposon DIRS-1, complete, clone SB41."			Y					0.049236
