#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
100002	Y	DDB_G0292044				22.3523
100004	Y	estExt_fgeneshDP_pg.C_5880003				18.3417
100012	Y	tgrD1	IPT/TIG domain-containing protein			6.38349
100013	Y	pyk3	"DPYK family protein kinase, protein kinase,  TKL group, protein tyrosine kinase, tyrosine kinase-like protein"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q23927_DICDI_Q23927;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_TYR"	32.8937
100030	Y	ints1	integrator complex subunit 1			35.4691
100035	Y	DDB_G0267762			FNIP	33.4685
100046	Y	DDB_G0282115	"C3HC4-type zinc finger-containing protein, CHR group protein, SNF2-related domain-containing protein, helicase,  C-terminal domain-containing protein"	"ubiquitin ligase complex | nucleic acid binding | DNA binding | ATP-dependent DNA helicase activity | ATP-dependent RNA helicase activity | helicase activity | ubiquitin-protein ligase activity | ATP binding | ATP-dependent helicase activity | DNA-dependent ATPase activity | RNA-dependent ATPase activity | zinc ion binding | protein-transporting ATPase activity | DNA translocase activity | protein ubiquitination | ATPase activity | single-stranded DNA-dependent ATP-dependent DNA helicase activity | ATPase activity, coupled | ATPase activity, uncoupled | ATPase activity, coupled to transmembrane movement of ions | ATPase activity, coupled to transmembrane movement of substances"	"zf-C3HC4, SNF2_N, Helicase_C, DEXDc, HELICc, ZF_RING_2, ZF_RING_1"	35.7181
100047	Y	gemA	"Ras-related GTPase, mitochondrial GTPase"	calcium ion binding | GTP binding | small GTPase mediated signal transduction | protein transport	"RASTRNSFRMNG, efhand, EFh, RHO, RAB, EF_HAND_2, EF_HAND"	32.5157
100057	Y	DDB_G0277787				35.966
100058	Y	DDB_G0277697				33.8081
100061	Y	DDB_G0272406	Similar to Dictyostelium discoideum (Slime mold). histidine kinase DhkL.	phospholipase D activity	"GRAM, GRAM"	32.1312
100067	Y	sgkC	sphingosine kinase related protein	diacylglycerol kinase activity | protein kinase C activation | sphinganine kinase activity	"sp_Q86J51_DICDI_Q86J51;, DAGK_cat, DAGKc"	32.0718
100068	Y	estExt_fgeneshDP_pg.C_6330001		regulation of cell cycle	Cyclin_N	31.8892
100069	Y	oxct	3-oxoacid CoA-transferase	metabolism | 3-oxoacid CoA-transferase activity | CoA-transferase activity	"CoA_trans, COA_TRANSF_2"	34.9029
100074	Y	fimD	"actin binding protein, calponin homology (CH) domain-containing protein, fimbrin-4"	myosin ATPase activity	"CH, CH, CH"	34.2917
100077	Y	DDB_G0271860	"putative protein tyrosine phosphatase,  dual specificity"	phosphoprotein phosphatase activity | protein amino acid dephosphorylation | protein tyrosine/serine/threonine phosphatase activity	"DSPc, DSPc, TYR_PHOSPHATASE_DUAL, TYR_PHOSPHATASE_2, TYR_PHOSPHATASE_1"	28.8714
100079	Y	DDB_G0293924		nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	31.7442
