#genename	D. discoideum gene name	
#ddb_g	D. discoideum dictybase gene ID	
#jgi_id	D. purpureum JGI gene ID	
#		
genename	ddb_g	jgi_id
rab32C	DDB_G0275675	91127
DDB_G0275849	DDB_G0275849	91130
mobA	DDB_G0278907	91135
fray1	DDB_G0278863	91138
DDB_G0279247	DDB_G0279247	91142
mrrA	DDB_G0271908	91918
padA	DDB_G0286385	91927
DDB_G0287001	DDB_G0287001	91930
DDB_G0287073	DDB_G0287073	91932
DDB_G0276545	DDB_G0276545	91936
rab8A	DDB_G0280043	91938
osbH	DDB_G0283709	91950
DDB_G0290029	DDB_G0290029	91955
DDB_G0292054	DDB_G0292054	91957
DDB_G0285619	DDB_G0285619	91961
DDB_G0279981	DDB_G0279981	91967
dyrk2	DDB_G0293750	91968
guaA	DDB_G0281551	91981
gtpA	DDB_G0275441	91144
DDB_G0277051	DDB_G0277051	91147
DDB_G0292070	DDB_G0292070	91148
DDB_G0292520	DDB_G0292520	91988
DDB_G0290595	DDB_G0290595	91991
gnpda1	DDB_G0278873	91998
p17	DDB_G0278725	91999
DDB_G0271676	DDB_G0271676	92017
CYP516B1	DDB_G0271778	92019
DDB_G0271892	DDB_G0271892	92021
mfap1	DDB_G0282219	92024
DDB_G0277723	DDB_G0277723	92027
DDB_G0278807	DDB_G0278807	92036
srsA	DDB_G0289521	92044
DDB_G0279975	DDB_G0279975	92046
sigH	DDB_G0276757	92049
carB	DDB_G0288179	92050
ponC1	DDB_G0286717	92054
DDB_G0281281	DDB_G0281281	92059
DDB_G0281607	DDB_G0281607	92062
DDB_G0290859	DDB_G0290859	92065
DDB_G0290531	DDB_G0290531	92069
DDB_G0288745	DDB_G0288745	91181
DDB_G0272975	DDB_G0272975	91186
DDB_G0284351	DDB_G0284351	92084
DDB_G0288279	DDB_G0288279	92092
DDB_G0287319	DDB_G0287319	92094
DDB_G0268822	DDB_G0268822	92097
DDB_G0269332	DDB_G0269332	92100
DDB_G0269276	DDB_G0269276	92102
DDB_G0269280	DDB_G0269280	92103
DDB_G0268044	DDB_G0268044	92107
hbx7	DDB_G0278225	92118
DDB_G0278981	DDB_G0278981	92119
rab7A	DDB_G0269236	92126
snwA	DDB_G0269188	92128
DDB_G0292602	DDB_G0292602	91189
mdhB	DDB_G0292600	91190
rps20	DDB_G0278429	91193
dcsA	DDB_G0269124	92136
DDB_G0295797	DDB_G0295797	92139
DDB_G0275795	DDB_G0275795	92143
DDB_G0275317	DDB_G0275317	92146
srfA	DDB_G0281387	92150
DDB_G0281431	DDB_G0281431	92151
DDB_G0276281	DDB_G0276281	92159
DDB_G0279829	DDB_G0279829	92165
DDB_G0281165	DDB_G0281165	92172
DDB_G0280103	DDB_G0280103	92174
DDB_G0278839	DDB_G0278839	91197
aqpA	DDB_G0267378	91200
DDB_G0292110	DDB_G0292110	91206
DDB_G0275411	DDB_G0275411	92185
DDB_G0275367	DDB_G0275367	92186
rzpA	DDB_G0269184	92192
DDB_G0279173	DDB_G0279173	92195
dct	DDB_G0283767	92199
